"","Time","cumsum.died","percent.alive","var.level","sim.num","percent.died"
"38",16,27,73,"Higher Infection Tolerance","1 B",27
"39",17,28,72,"Higher Infection Tolerance","1 B",28
"40",18,30,70,"Higher Infection Tolerance","1 B",30
"41",19,30,70,"Higher Infection Tolerance","1 B",30
"42",20,31,69,"Higher Infection Tolerance","1 B",31
"43",0,0,100,"Higher Exposure Tolerance","2 A",0
"44",1,0,100,"Higher Exposure Tolerance","2 A",0
"45",2,5,95,"Higher Exposure Tolerance","2 A",5
"46",3,8,92,"Higher Exposure Tolerance","2 A",8
"47",4,14,86,"Higher Exposure Tolerance","2 A",14
"48",5,17,83,"Higher Exposure Tolerance","2 A",17
"49",6,19,81,"Higher Exposure Tolerance","2 A",19
"50",7,21,79,"Higher Exposure Tolerance","2 A",21
"51",8,22,78,"Higher Exposure Tolerance","2 A",22
"52",9,23,77,"Higher Exposure Tolerance","2 A",23
"53",10,27,73,"Higher Exposure Tolerance","2 A",27
"54",11,27,73,"Higher Exposure Tolerance","2 A",27
"55",12,32,68,"Higher Exposure Tolerance","2 A",32
"56",13,35,65,"Higher Exposure Tolerance","2 A",35
"57",14,36,64,"Higher Exposure Tolerance","2 A",36
"58",15,38,62,"Higher Exposure Tolerance","2 A",38
"59",16,39,61,"Higher Exposure Tolerance","2 A",39
"60",17,41,59,"Higher Exposure Tolerance","2 A",41
"61",18,44,56,"Higher Exposure Tolerance","2 A",44
"62",19,45,55,"Higher Exposure Tolerance","2 A",45
"63",20,47,53,"Higher Exposure Tolerance","2 A",47
"64",0,0,100,"Higher Infection Tolerance","2 B",0
"65",1,19,81,"Higher Infection Tolerance","2 B",19
"66",2,19,81,"Higher Infection Tolerance","2 B",19
"67",3,19,81,"Higher Infection Tolerance","2 B",19
"68",4,19,81,"Higher Infection Tolerance","2 B",19
"69",5,20,80,"Higher Infection Tolerance","2 B",20
"70",6,20,80,"Higher Infection Tolerance","2 B",20
"71",7,20,80,"Higher Infection Tolerance","2 B",20
"72",8,20,80,"Higher Infection Tolerance","2 B",20
"73",9,21,79,"Higher Infection Tolerance","2 B",21
"74",10,21,79,"Higher Infection Tolerance","2 B",21
"75",11,22,78,"Higher Infection Tolerance","2 B",22
"76",12,22,78,"Higher Infection Tolerance","2 B",22
"77",13,22,78,"Higher Infection Tolerance","2 B",22
"78",14,23,77,"Higher Infection Tolerance","2 B",23
"79",15,23,77,"Higher Infection Tolerance","2 B",23
"80",16,23,77,"Higher Infection Tolerance","2 B",23
"81",17,25,75,"Higher Infection Tolerance","2 B",25
"82",18,25,75,"Higher Infection Tolerance","2 B",25
"83",19,25,75,"Higher Infection Tolerance","2 B",25
"84",20,25,75,"Higher Infection Tolerance","2 B",25
"85",0,0,100,"Higher Exposure Tolerance","3 A",0
"86",1,1,99,"Higher Exposure Tolerance","3 A",1
"87",2,4,96,"Higher Exposure Tolerance","3 A",4
"88",3,9,91,"Higher Exposure Tolerance","3 A",9
"89",4,14,86,"Higher Exposure Tolerance","3 A",14
"90",5,19,81,"Higher Exposure Tolerance","3 A",19
"91",6,22,78,"Higher Exposure Tolerance","3 A",22
"92",7,23,77,"Higher Exposure Tolerance","3 A",23
"93",8,25,75,"Higher Exposure Tolerance","3 A",25
"94",9,28,72,"Higher Exposure Tolerance","3 A",28
"95",10,31,69,"Higher Exposure Tolerance","3 A",31
"96",11,33,67,"Higher Exposure Tolerance","3 A",33
"97",12,34,66,"Higher Exposure Tolerance","3 A",34
"98",13,34,66,"Higher Exposure Tolerance","3 A",34
"99",14,34,66,"Higher Exposure Tolerance","3 A",34
"100",15,37,63,"Higher Exposure Tolerance","3 A",37
"101",16,37,63,"Higher Exposure Tolerance","3 A",37
"102",17,39,61,"Higher Exposure Tolerance","3 A",39
"103",18,40,60,"Higher Exposure Tolerance","3 A",40
"104",19,43,57,"Higher Exposure Tolerance","3 A",43
"105",20,44,56,"Higher Exposure Tolerance","3 A",44
"106",0,0,100,"Higher Infection Tolerance","3 B",0
"107",1,15,85,"Higher Infection Tolerance","3 B",15
"108",2,16,84,"Higher Infection Tolerance","3 B",16
"109",3,17,83,"Higher Infection Tolerance","3 B",17
"110",4,17,83,"Higher Infection Tolerance","3 B",17
"111",5,19,81,"Higher Infection Tolerance","3 B",19
"112",6,20,80,"Higher Infection Tolerance","3 B",20
"113",7,21,79,"Higher Infection Tolerance","3 B",21
"114",8,23,77,"Higher Infection Tolerance","3 B",23
"115",9,24,76,"Higher Infection Tolerance","3 B",24
"116",10,24,76,"Higher Infection Tolerance","3 B",24
"117",11,24,76,"Higher Infection Tolerance","3 B",24
"118",12,24,76,"Higher Infection Tolerance","3 B",24
"119",13,24,76,"Higher Infection Tolerance","3 B",24
"120",14,25,75,"Higher Infection Tolerance","3 B",25
"121",15,26,74,"Higher Infection Tolerance","3 B",26
"122",16,26,74,"Higher Infection Tolerance","3 B",26
"123",17,27,73,"Higher Infection Tolerance","3 B",27
"124",18,28,72,"Higher Infection Tolerance","3 B",28
"125",19,29,71,"Higher Infection Tolerance","3 B",29
"126",20,30,70,"Higher Infection Tolerance","3 B",30
"127",0,0,100,"Higher Exposure Tolerance","4 A",0
"128",1,2,98,"Higher Exposure Tolerance","4 A",2
"129",2,2,98,"Higher Exposure Tolerance","4 A",2
"130",3,3,97,"Higher Exposure Tolerance","4 A",3
"131",4,6,94,"Higher Exposure Tolerance","4 A",6
"132",5,7,93,"Higher Exposure Tolerance","4 A",7
"133",6,11,89,"Higher Exposure Tolerance","4 A",11
"134",7,13,87,"Higher Exposure Tolerance","4 A",13
"135",8,18,82,"Higher Exposure Tolerance","4 A",18
"136",9,19,81,"Higher Exposure Tolerance","4 A",19
"137",10,23,77,"Higher Exposure Tolerance","4 A",23
"138",11,25,75,"Higher Exposure Tolerance","4 A",25
"139",12,25,75,"Higher Exposure Tolerance","4 A",25
"140",13,26,74,"Higher Exposure Tolerance","4 A",26
"141",14,26,74,"Higher Exposure Tolerance","4 A",26
"142",15,27,73,"Higher Exposure Tolerance","4 A",27
"143",16,28,72,"Higher Exposure Tolerance","4 A",28
"144",17,29,71,"Higher Exposure Tolerance","4 A",29
"145",18,31,69,"Higher Exposure Tolerance","4 A",31
"146",19,31,69,"Higher Exposure Tolerance","4 A",31
"147",20,32,68,"Higher Exposure Tolerance","4 A",32
"148",0,0,100,"Higher Infection Tolerance","4 B",0
"149",1,16,84,"Higher Infection Tolerance","4 B",16
"150",2,16,84,"Higher Infection Tolerance","4 B",16
"151",3,16,84,"Higher Infection Tolerance","4 B",16
"152",4,16,84,"Higher Infection Tolerance","4 B",16
"153",5,17,83,"Higher Infection Tolerance","4 B",17
"154",6,18,82,"Higher Infection Tolerance","4 B",18
"155",7,18,82,"Higher Infection Tolerance","4 B",18
"156",8,18,82,"Higher Infection Tolerance","4 B",18
"157",9,18,82,"Higher Infection Tolerance","4 B",18
"158",10,18,82,"Higher Infection Tolerance","4 B",18
"159",11,18,82,"Higher Infection Tolerance","4 B",18
"160",12,19,81,"Higher Infection Tolerance","4 B",19
"161",13,19,81,"Higher Infection Tolerance","4 B",19
"162",14,19,81,"Higher Infection Tolerance","4 B",19
"163",15,20,80,"Higher Infection Tolerance","4 B",20
"164",16,20,80,"Higher Infection Tolerance","4 B",20
"165",17,21,79,"Higher Infection Tolerance","4 B",21
"166",18,21,79,"Higher Infection Tolerance","4 B",21
"167",19,21,79,"Higher Infection Tolerance","4 B",21
"168",20,22,78,"Higher Infection Tolerance","4 B",22
"169",0,0,100,"Higher Exposure Tolerance","5 A",0
"170",1,1,99,"Higher Exposure Tolerance","5 A",1
"171",2,8,92,"Higher Exposure Tolerance","5 A",8
"172",3,12,88,"Higher Exposure Tolerance","5 A",12
"173",4,16,84,"Higher Exposure Tolerance","5 A",16
"174",5,20,80,"Higher Exposure Tolerance","5 A",20
"175",6,23,77,"Higher Exposure Tolerance","5 A",23
"176",7,24,76,"Higher Exposure Tolerance","5 A",24
"177",8,25,75,"Higher Exposure Tolerance","5 A",25
"178",9,26,74,"Higher Exposure Tolerance","5 A",26
"179",10,27,73,"Higher Exposure Tolerance","5 A",27
"180",11,32,68,"Higher Exposure Tolerance","5 A",32
"181",12,33,67,"Higher Exposure Tolerance","5 A",33
"182",13,36,64,"Higher Exposure Tolerance","5 A",36
"183",14,39,61,"Higher Exposure Tolerance","5 A",39
"184",15,39,61,"Higher Exposure Tolerance","5 A",39
"185",16,40,60,"Higher Exposure Tolerance","5 A",40
"186",17,44,56,"Higher Exposure Tolerance","5 A",44
"187",18,45,55,"Higher Exposure Tolerance","5 A",45
"188",19,45,55,"Higher Exposure Tolerance","5 A",45
"189",20,46,54,"Higher Exposure Tolerance","5 A",46
"190",0,0,100,"Higher Infection Tolerance","5 B",0
"191",1,13,87,"Higher Infection Tolerance","5 B",13
"192",2,13,87,"Higher Infection Tolerance","5 B",13
"193",3,14,86,"Higher Infection Tolerance","5 B",14
"194",4,14,86,"Higher Infection Tolerance","5 B",14
"195",5,16,84,"Higher Infection Tolerance","5 B",16
"196",6,16,84,"Higher Infection Tolerance","5 B",16
"197",7,16,84,"Higher Infection Tolerance","5 B",16
"198",8,17,83,"Higher Infection Tolerance","5 B",17
"199",9,18,82,"Higher Infection Tolerance","5 B",18
"200",10,19,81,"Higher Infection Tolerance","5 B",19
"201",11,19,81,"Higher Infection Tolerance","5 B",19
"202",12,21,79,"Higher Infection Tolerance","5 B",21
"203",13,21,79,"Higher Infection Tolerance","5 B",21
"204",14,22,78,"Higher Infection Tolerance","5 B",22
"205",15,22,78,"Higher Infection Tolerance","5 B",22
"206",16,23,77,"Higher Infection Tolerance","5 B",23
"207",17,24,76,"Higher Infection Tolerance","5 B",24
"208",18,24,76,"Higher Infection Tolerance","5 B",24
"209",19,24,76,"Higher Infection Tolerance","5 B",24
"210",20,24,76,"Higher Infection Tolerance","5 B",24
"211",0,0,100,"Higher Exposure Tolerance","6 A",0
"212",1,4,96,"Higher Exposure Tolerance","6 A",4
"213",2,7,93,"Higher Exposure Tolerance","6 A",7
"214",3,8,92,"Higher Exposure Tolerance","6 A",8
"215",4,10,90,"Higher Exposure Tolerance","6 A",10
"216",5,14,86,"Higher Exposure Tolerance","6 A",14
"217",6,17,83,"Higher Exposure Tolerance","6 A",17
"218",7,22,78,"Higher Exposure Tolerance","6 A",22
"219",8,24,76,"Higher Exposure Tolerance","6 A",24
"220",9,26,74,"Higher Exposure Tolerance","6 A",26
"221",10,28,72,"Higher Exposure Tolerance","6 A",28
"222",11,28,72,"Higher Exposure Tolerance","6 A",28
"223",12,30,70,"Higher Exposure Tolerance","6 A",30
"224",13,32,68,"Higher Exposure Tolerance","6 A",32
"225",14,34,66,"Higher Exposure Tolerance","6 A",34
"226",15,34,66,"Higher Exposure Tolerance","6 A",34
"227",16,36,64,"Higher Exposure Tolerance","6 A",36
"228",17,37,63,"Higher Exposure Tolerance","6 A",37
"229",18,37,63,"Higher Exposure Tolerance","6 A",37
"230",19,38,62,"Higher Exposure Tolerance","6 A",38
"231",20,39,61,"Higher Exposure Tolerance","6 A",39
"232",0,0,100,"Higher Infection Tolerance","6 B",0
"233",1,10,90,"Higher Infection Tolerance","6 B",10
"234",2,10,90,"Higher Infection Tolerance","6 B",10
"235",3,11,89,"Higher Infection Tolerance","6 B",11
"236",4,11,89,"Higher Infection Tolerance","6 B",11
"237",5,12,88,"Higher Infection Tolerance","6 B",12
"238",6,12,88,"Higher Infection Tolerance","6 B",12
"239",7,13,87,"Higher Infection Tolerance","6 B",13
"240",8,13,87,"Higher Infection Tolerance","6 B",13
"241",9,13,87,"Higher Infection Tolerance","6 B",13
"242",10,14,86,"Higher Infection Tolerance","6 B",14
"243",11,14,86,"Higher Infection Tolerance","6 B",14
"244",12,14,86,"Higher Infection Tolerance","6 B",14
"245",13,14,86,"Higher Infection Tolerance","6 B",14
"246",14,16,84,"Higher Infection Tolerance","6 B",16
"247",15,17,83,"Higher Infection Tolerance","6 B",17
"248",16,17,83,"Higher Infection Tolerance","6 B",17
"249",17,18,82,"Higher Infection Tolerance","6 B",18
"250",18,18,82,"Higher Infection Tolerance","6 B",18
"251",19,18,82,"Higher Infection Tolerance","6 B",18
"252",20,19,81,"Higher Infection Tolerance","6 B",19
"253",0,0,100,"Higher Exposure Tolerance","7 A",0
"254",1,2,98,"Higher Exposure Tolerance","7 A",2
"255",2,8,92,"Higher Exposure Tolerance","7 A",8
"256",3,9,91,"Higher Exposure Tolerance","7 A",9
"257",4,10,90,"Higher Exposure Tolerance","7 A",10
"258",5,12,88,"Higher Exposure Tolerance","7 A",12
"259",6,16,84,"Higher Exposure Tolerance","7 A",16
"260",7,20,80,"Higher Exposure Tolerance","7 A",20
"261",8,22,78,"Higher Exposure Tolerance","7 A",22
"262",9,23,77,"Higher Exposure Tolerance","7 A",23
"263",10,26,74,"Higher Exposure Tolerance","7 A",26
"264",11,27,73,"Higher Exposure Tolerance","7 A",27
"265",12,29,71,"Higher Exposure Tolerance","7 A",29
"266",13,31,69,"Higher Exposure Tolerance","7 A",31
"267",14,33,67,"Higher Exposure Tolerance","7 A",33
"268",15,38,62,"Higher Exposure Tolerance","7 A",38
"269",16,40,60,"Higher Exposure Tolerance","7 A",40
"270",17,41,59,"Higher Exposure Tolerance","7 A",41
"271",18,43,57,"Higher Exposure Tolerance","7 A",43
"272",19,45,55,"Higher Exposure Tolerance","7 A",45
"273",20,46,54,"Higher Exposure Tolerance","7 A",46
"274",0,0,100,"Higher Infection Tolerance","7 B",0
"275",1,16,84,"Higher Infection Tolerance","7 B",16
"276",2,16,84,"Higher Infection Tolerance","7 B",16
"277",3,18,82,"Higher Infection Tolerance","7 B",18
"278",4,19,81,"Higher Infection Tolerance","7 B",19
"279",5,19,81,"Higher Infection Tolerance","7 B",19
"280",6,19,81,"Higher Infection Tolerance","7 B",19
"281",7,19,81,"Higher Infection Tolerance","7 B",19
"282",8,20,80,"Higher Infection Tolerance","7 B",20
"283",9,20,80,"Higher Infection Tolerance","7 B",20
"284",10,21,79,"Higher Infection Tolerance","7 B",21
"285",11,22,78,"Higher Infection Tolerance","7 B",22
"286",12,24,76,"Higher Infection Tolerance","7 B",24
"287",13,24,76,"Higher Infection Tolerance","7 B",24
"288",14,24,76,"Higher Infection Tolerance","7 B",24
"289",15,24,76,"Higher Infection Tolerance","7 B",24
"290",16,24,76,"Higher Infection Tolerance","7 B",24
"291",17,25,75,"Higher Infection Tolerance","7 B",25
"292",18,25,75,"Higher Infection Tolerance","7 B",25
"293",19,25,75,"Higher Infection Tolerance","7 B",25
"294",20,26,74,"Higher Infection Tolerance","7 B",26
"295",0,0,100,"Higher Exposure Tolerance","8 A",0
"296",1,2,98,"Higher Exposure Tolerance","8 A",2
"297",2,5,95,"Higher Exposure Tolerance","8 A",5
"298",3,6,94,"Higher Exposure Tolerance","8 A",6
"299",4,9,91,"Higher Exposure Tolerance","8 A",9
"300",5,11,89,"Higher Exposure Tolerance","8 A",11
"301",6,14,86,"Higher Exposure Tolerance","8 A",14
"302",7,18,82,"Higher Exposure Tolerance","8 A",18
"303",8,20,80,"Higher Exposure Tolerance","8 A",20
"304",9,22,78,"Higher Exposure Tolerance","8 A",22
"305",10,26,74,"Higher Exposure Tolerance","8 A",26
"306",11,26,74,"Higher Exposure Tolerance","8 A",26
"307",12,27,73,"Higher Exposure Tolerance","8 A",27
"308",13,29,71,"Higher Exposure Tolerance","8 A",29
"309",14,31,69,"Higher Exposure Tolerance","8 A",31
"310",15,33,67,"Higher Exposure Tolerance","8 A",33
"311",16,33,67,"Higher Exposure Tolerance","8 A",33
"312",17,34,66,"Higher Exposure Tolerance","8 A",34
"313",18,38,62,"Higher Exposure Tolerance","8 A",38
"314",19,39,61,"Higher Exposure Tolerance","8 A",39
"315",20,39,61,"Higher Exposure Tolerance","8 A",39
"316",0,0,100,"Higher Infection Tolerance","8 B",0
"317",1,16,84,"Higher Infection Tolerance","8 B",16
"318",2,16,84,"Higher Infection Tolerance","8 B",16
"319",3,17,83,"Higher Infection Tolerance","8 B",17
"320",4,17,83,"Higher Infection Tolerance","8 B",17
"321",5,18,82,"Higher Infection Tolerance","8 B",18
"322",6,20,80,"Higher Infection Tolerance","8 B",20
"323",7,20,80,"Higher Infection Tolerance","8 B",20
"324",8,20,80,"Higher Infection Tolerance","8 B",20
"325",9,20,80,"Higher Infection Tolerance","8 B",20
"326",10,20,80,"Higher Infection Tolerance","8 B",20
"327",11,22,78,"Higher Infection Tolerance","8 B",22
"328",12,22,78,"Higher Infection Tolerance","8 B",22
"329",13,22,78,"Higher Infection Tolerance","8 B",22
"330",14,22,78,"Higher Infection Tolerance","8 B",22
"331",15,23,77,"Higher Infection Tolerance","8 B",23
"332",16,23,77,"Higher Infection Tolerance","8 B",23
"333",17,23,77,"Higher Infection Tolerance","8 B",23
"334",18,23,77,"Higher Infection Tolerance","8 B",23
"335",19,23,77,"Higher Infection Tolerance","8 B",23
"336",20,24,76,"Higher Infection Tolerance","8 B",24
"337",0,0,100,"Higher Exposure Tolerance","9 A",0
"338",1,2,98,"Higher Exposure Tolerance","9 A",2
"339",2,6,94,"Higher Exposure Tolerance","9 A",6
"340",3,9,91,"Higher Exposure Tolerance","9 A",9
"341",4,14,86,"Higher Exposure Tolerance","9 A",14
"342",5,15,85,"Higher Exposure Tolerance","9 A",15
"343",6,17,83,"Higher Exposure Tolerance","9 A",17
"344",7,22,78,"Higher Exposure Tolerance","9 A",22
"345",8,27,73,"Higher Exposure Tolerance","9 A",27
"346",9,29,71,"Higher Exposure Tolerance","9 A",29
"347",10,34,66,"Higher Exposure Tolerance","9 A",34
"348",11,35,65,"Higher Exposure Tolerance","9 A",35
"349",12,37,63,"Higher Exposure Tolerance","9 A",37
"350",13,40,60,"Higher Exposure Tolerance","9 A",40
"351",14,42,58,"Higher Exposure Tolerance","9 A",42
"352",15,43,57,"Higher Exposure Tolerance","9 A",43
"353",16,44,56,"Higher Exposure Tolerance","9 A",44
"354",17,46,54,"Higher Exposure Tolerance","9 A",46
"355",18,46,54,"Higher Exposure Tolerance","9 A",46
"356",19,48,52,"Higher Exposure Tolerance","9 A",48
"357",20,53,47,"Higher Exposure Tolerance","9 A",53
"358",0,0,100,"Higher Infection Tolerance","9 B",0
"359",1,6,94,"Higher Infection Tolerance","9 B",6
"360",2,6,94,"Higher Infection Tolerance","9 B",6
"361",3,6,94,"Higher Infection Tolerance","9 B",6
"362",4,7,93,"Higher Infection Tolerance","9 B",7
"363",5,7,93,"Higher Infection Tolerance","9 B",7
"364",6,7,93,"Higher Infection Tolerance","9 B",7
"365",7,7,93,"Higher Infection Tolerance","9 B",7
"366",8,8,92,"Higher Infection Tolerance","9 B",8
"367",9,8,92,"Higher Infection Tolerance","9 B",8
"368",10,10,90,"Higher Infection Tolerance","9 B",10
"369",11,10,90,"Higher Infection Tolerance","9 B",10
"370",12,11,89,"Higher Infection Tolerance","9 B",11
"371",13,11,89,"Higher Infection Tolerance","9 B",11
"372",14,11,89,"Higher Infection Tolerance","9 B",11
"373",15,12,88,"Higher Infection Tolerance","9 B",12
"374",16,12,88,"Higher Infection Tolerance","9 B",12
"375",17,12,88,"Higher Infection Tolerance","9 B",12
"376",18,13,87,"Higher Infection Tolerance","9 B",13
"377",19,13,87,"Higher Infection Tolerance","9 B",13
"378",20,13,87,"Higher Infection Tolerance","9 B",13
"379",0,0,100,"Higher Exposure Tolerance","10 A",0
"380",1,4,96,"Higher Exposure Tolerance","10 A",4
"381",2,9,91,"Higher Exposure Tolerance","10 A",9
"382",3,14,86,"Higher Exposure Tolerance","10 A",14
"383",4,16,84,"Higher Exposure Tolerance","10 A",16
"384",5,17,83,"Higher Exposure Tolerance","10 A",17
"385",6,19,81,"Higher Exposure Tolerance","10 A",19
"386",7,23,77,"Higher Exposure Tolerance","10 A",23
"387",8,25,75,"Higher Exposure Tolerance","10 A",25
"388",9,25,75,"Higher Exposure Tolerance","10 A",25
"389",10,27,73,"Higher Exposure Tolerance","10 A",27
"390",11,29,71,"Higher Exposure Tolerance","10 A",29
"391",12,32,68,"Higher Exposure Tolerance","10 A",32
"392",13,34,66,"Higher Exposure Tolerance","10 A",34
"393",14,34,66,"Higher Exposure Tolerance","10 A",34
"394",15,36,64,"Higher Exposure Tolerance","10 A",36
"395",16,38,62,"Higher Exposure Tolerance","10 A",38
"396",17,41,59,"Higher Exposure Tolerance","10 A",41
"397",18,42,58,"Higher Exposure Tolerance","10 A",42
"398",19,42,58,"Higher Exposure Tolerance","10 A",42
"399",20,44,56,"Higher Exposure Tolerance","10 A",44
"400",0,0,100,"Higher Infection Tolerance","10 B",0
"401",1,18,82,"Higher Infection Tolerance","10 B",18
"402",2,19,81,"Higher Infection Tolerance","10 B",19
"403",3,20,80,"Higher Infection Tolerance","10 B",20
"404",4,20,80,"Higher Infection Tolerance","10 B",20
"405",5,20,80,"Higher Infection Tolerance","10 B",20
"406",6,20,80,"Higher Infection Tolerance","10 B",20
"407",7,20,80,"Higher Infection Tolerance","10 B",20
"408",8,21,79,"Higher Infection Tolerance","10 B",21
"409",9,21,79,"Higher Infection Tolerance","10 B",21
"410",10,22,78,"Higher Infection Tolerance","10 B",22
"411",11,22,78,"Higher Infection Tolerance","10 B",22
"412",12,22,78,"Higher Infection Tolerance","10 B",22
"413",13,22,78,"Higher Infection Tolerance","10 B",22
"414",14,22,78,"Higher Infection Tolerance","10 B",22
"415",15,23,77,"Higher Infection Tolerance","10 B",23
"416",16,24,76,"Higher Infection Tolerance","10 B",24
"417",17,24,76,"Higher Infection Tolerance","10 B",24
"418",18,24,76,"Higher Infection Tolerance","10 B",24
"419",19,24,76,"Higher Infection Tolerance","10 B",24
"420",20,24,76,"Higher Infection Tolerance","10 B",24
"421",0,0,100,"Higher Exposure Tolerance","11 A",0
"422",1,2,98,"Higher Exposure Tolerance","11 A",2
"423",2,8,92,"Higher Exposure Tolerance","11 A",8
"424",3,10,90,"Higher Exposure Tolerance","11 A",10
"425",4,11,89,"Higher Exposure Tolerance","11 A",11
"426",5,15,85,"Higher Exposure Tolerance","11 A",15
"427",6,17,83,"Higher Exposure Tolerance","11 A",17
"428",7,20,80,"Higher Exposure Tolerance","11 A",20
"429",8,23,77,"Higher Exposure Tolerance","11 A",23
"430",9,25,75,"Higher Exposure Tolerance","11 A",25
"431",10,28,72,"Higher Exposure Tolerance","11 A",28
"432",11,30,70,"Higher Exposure Tolerance","11 A",30
"433",12,33,67,"Higher Exposure Tolerance","11 A",33
"434",13,33,67,"Higher Exposure Tolerance","11 A",33
"435",14,34,66,"Higher Exposure Tolerance","11 A",34
"436",15,36,64,"Higher Exposure Tolerance","11 A",36
"437",16,36,64,"Higher Exposure Tolerance","11 A",36
"438",17,42,58,"Higher Exposure Tolerance","11 A",42
"439",18,44,56,"Higher Exposure Tolerance","11 A",44
"440",19,45,55,"Higher Exposure Tolerance","11 A",45
"441",20,46,54,"Higher Exposure Tolerance","11 A",46
"442",0,0,100,"Higher Infection Tolerance","11 B",0
"443",1,11,89,"Higher Infection Tolerance","11 B",11
"444",2,11,89,"Higher Infection Tolerance","11 B",11
"445",3,11,89,"Higher Infection Tolerance","11 B",11
"446",4,12,88,"Higher Infection Tolerance","11 B",12
"447",5,13,87,"Higher Infection Tolerance","11 B",13
"448",6,13,87,"Higher Infection Tolerance","11 B",13
"449",7,13,87,"Higher Infection Tolerance","11 B",13
"450",8,16,84,"Higher Infection Tolerance","11 B",16
"451",9,16,84,"Higher Infection Tolerance","11 B",16
"452",10,16,84,"Higher Infection Tolerance","11 B",16
"453",11,17,83,"Higher Infection Tolerance","11 B",17
"454",12,17,83,"Higher Infection Tolerance","11 B",17
"455",13,17,83,"Higher Infection Tolerance","11 B",17
"456",14,17,83,"Higher Infection Tolerance","11 B",17
"457",15,17,83,"Higher Infection Tolerance","11 B",17
"458",16,17,83,"Higher Infection Tolerance","11 B",17
"459",17,17,83,"Higher Infection Tolerance","11 B",17
"460",18,17,83,"Higher Infection Tolerance","11 B",17
"461",19,18,82,"Higher Infection Tolerance","11 B",18
"462",20,20,80,"Higher Infection Tolerance","11 B",20
"463",0,0,100,"Higher Exposure Tolerance","12 A",0
"464",1,3,97,"Higher Exposure Tolerance","12 A",3
"465",2,7,93,"Higher Exposure Tolerance","12 A",7
"466",3,13,87,"Higher Exposure Tolerance","12 A",13
"467",4,15,85,"Higher Exposure Tolerance","12 A",15
"468",5,20,80,"Higher Exposure Tolerance","12 A",20
"469",6,22,78,"Higher Exposure Tolerance","12 A",22
"470",7,26,74,"Higher Exposure Tolerance","12 A",26
"471",8,29,71,"Higher Exposure Tolerance","12 A",29
"472",9,31,69,"Higher Exposure Tolerance","12 A",31
"473",10,33,67,"Higher Exposure Tolerance","12 A",33
"474",11,34,66,"Higher Exposure Tolerance","12 A",34
"475",12,35,65,"Higher Exposure Tolerance","12 A",35
"476",13,38,62,"Higher Exposure Tolerance","12 A",38
"477",14,38,62,"Higher Exposure Tolerance","12 A",38
"478",15,41,59,"Higher Exposure Tolerance","12 A",41
"479",16,43,57,"Higher Exposure Tolerance","12 A",43
"480",17,45,55,"Higher Exposure Tolerance","12 A",45
"481",18,47,53,"Higher Exposure Tolerance","12 A",47
"482",19,48,52,"Higher Exposure Tolerance","12 A",48
"483",20,51,49,"Higher Exposure Tolerance","12 A",51
"484",0,0,100,"Higher Infection Tolerance","12 B",0
"485",1,19,81,"Higher Infection Tolerance","12 B",19
"486",2,20,80,"Higher Infection Tolerance","12 B",20
"487",3,20,80,"Higher Infection Tolerance","12 B",20
"488",4,21,79,"Higher Infection Tolerance","12 B",21
