"","initial.parasites","infection.length","penetrated.parasites","established.parasites","No.parasites","host.mort","host.pent.mort","parasite.mort","time.died","parasites.dead","t","total.parasites","total.parasites.detected","var.level","sim.num","unique.id","tolerance.diff"
"ind99",30,180,30,11,0,0,0,0,0,0,20,0,0,"Higher Clearance","1","1","no"
"ind100",30,180,30,14,1,0,0,0,0,0,20,1,1,"Higher Clearance","1","1","no"
"ind110",30,180,30,16,12,0,0,0,0,0,20,12,12,"Higher Infection Resistance","1","1","no"
"ind210",30,180,29,14,11,0,0,0,0,0,20,11,11,"Higher Infection Resistance","1","1","no"
"ind310",30,180,29,17,12,0,0,1,0,0,20,12,9,"Higher Infection Resistance","1","1","no"
"ind410",30,180,30,16,9,0,0,1,0,0,20,9,8,"Higher Infection Resistance","1","1","no"
"ind510",30,180,30,18,12,0,0,0,0,0,20,12,9,"Higher Infection Resistance","1","1","no"
"ind610",30,180,30,12,9,0,0,0,0,0,20,9,9,"Higher Infection Resistance","1","1","no"
"ind710",30,180,30,11,6,0,0,0,0,0,20,6,5,"Higher Infection Resistance","1","1","no"
"ind810",30,180,30,10,8,0,0,0,0,0,20,8,6,"Higher Infection Resistance","1","1","no"
"ind910",30,180,30,16,11,0,0,0,0,0,20,11,11,"Higher Infection Resistance","1","1","no"
"ind101",30,180,30,16,14,0,0,0,0,0,20,14,13,"Higher Infection Resistance","1","1","no"
"ind111",30,180,30,16,13,0,0,0,0,0,20,13,11,"Higher Infection Resistance","1","1","no"
"ind121",30,180,30,15,10,0,0,0,0,0,20,10,8,"Higher Infection Resistance","1","1","no"
"ind131",30,180,30,15,13,0,0,0,0,0,20,13,10,"Higher Infection Resistance","1","1","no"
"ind141",30,180,30,16,15,0,0,0,0,0,20,15,14,"Higher Infection Resistance","1","1","no"
"ind151",30,180,30,14,11,0,0,0,0,0,20,11,11,"Higher Infection Resistance","1","1","no"
"ind161",30,180,30,16,12,0,0,0,0,0,20,12,10,"Higher Infection Resistance","1","1","no"
"ind171",30,180,30,12,9,0,0,0,0,0,20,9,8,"Higher Infection Resistance","1","1","no"
"ind181",30,180,30,16,14,0,0,0,0,0,20,14,13,"Higher Infection Resistance","1","1","no"
"ind191",30,180,30,11,9,0,0,0,0,0,20,9,8,"Higher Infection Resistance","1","1","no"
"ind201",30,180,29,16,13,0,0,1,0,0,20,13,12,"Higher Infection Resistance","1","1","no"
"ind211",30,180,29,19,0,0,0,0,9,17,20,17,15,"Higher Infection Resistance","1","1","no"
"ind221",30,180,30,17,11,0,0,1,0,0,20,11,9,"Higher Infection Resistance","1","1","no"
"ind231",30,180,30,14,9,0,0,1,0,0,20,9,8,"Higher Infection Resistance","1","1","no"
"ind241",30,180,30,16,14,0,0,0,0,0,20,14,13,"Higher Infection Resistance","1","1","no"
"ind251",30,180,28,11,8,0,0,1,0,0,20,8,7,"Higher Infection Resistance","1","1","no"
"ind261",30,180,28,14,12,0,0,0,0,0,20,12,9,"Higher Infection Resistance","1","1","no"
"ind271",30,180,30,19,17,0,0,0,0,0,20,17,16,"Higher Infection Resistance","1","1","no"
"ind281",30,180,30,13,11,0,0,1,0,0,20,11,11,"Higher Infection Resistance","1","1","no"
"ind291",30,180,29,15,12,0,0,0,0,0,20,12,9,"Higher Infection Resistance","1","1","no"
"ind301",30,180,29,13,12,0,0,0,0,0,20,12,11,"Higher Infection Resistance","1","1","no"
"ind311",30,180,30,22,15,0,0,0,0,0,20,15,13,"Higher Infection Resistance","1","1","no"
"ind321",30,180,30,15,12,0,0,0,0,0,20,12,11,"Higher Infection Resistance","1","1","no"
"ind331",30,180,30,15,11,0,0,0,0,0,20,11,10,"Higher Infection Resistance","1","1","no"
"ind341",30,180,30,17,12,0,0,0,0,0,20,12,11,"Higher Infection Resistance","1","1","no"
"ind351",30,180,30,18,0,0,0,0,3,18,20,18,17,"Higher Infection Resistance","1","1","no"
"ind361",30,180,29,16,12,0,0,0,0,0,20,12,11,"Higher Infection Resistance","1","1","no"
"ind371",30,180,30,17,13,0,0,0,0,0,20,13,11,"Higher Infection Resistance","1","1","no"
"ind381",30,180,30,15,11,0,0,0,0,0,20,11,10,"Higher Infection Resistance","1","1","no"
"ind391",30,180,29,12,0,0,0,0,15,12,20,12,10,"Higher Infection Resistance","1","1","no"
"ind401",30,180,30,10,0,0,0,0,10,9,20,9,9,"Higher Infection Resistance","1","1","no"
"ind411",30,180,30,18,14,0,0,0,0,0,20,14,13,"Higher Infection Resistance","1","1","no"
"ind421",30,180,30,15,11,0,0,1,0,0,20,11,9,"Higher Infection Resistance","1","1","no"
"ind431",30,180,30,16,13,0,0,0,0,0,20,13,13,"Higher Infection Resistance","1","1","no"
"ind441",30,180,30,15,11,0,0,0,0,0,20,11,10,"Higher Infection Resistance","1","1","no"
"ind451",30,180,30,13,8,0,0,0,0,0,20,8,6,"Higher Infection Resistance","1","1","no"
"ind461",30,180,29,16,7,0,0,0,0,0,20,7,5,"Higher Infection Resistance","1","1","no"
"ind471",30,180,29,15,0,0,0,0,9,14,20,14,12,"Higher Infection Resistance","1","1","no"
"ind481",30,180,30,14,11,0,0,0,0,0,20,11,11,"Higher Infection Resistance","1","1","no"
"ind491",30,180,30,14,11,0,0,1,0,0,20,11,11,"Higher Infection Resistance","1","1","no"
"ind501",30,180,29,17,16,0,0,0,0,0,20,16,15,"Higher Infection Resistance","1","1","no"
"ind511",30,180,29,13,10,0,0,0,0,0,20,10,9,"Higher Infection Resistance","1","1","no"
"ind521",30,180,30,15,10,0,0,0,0,0,20,10,10,"Higher Infection Resistance","1","1","no"
"ind531",30,180,28,14,12,0,0,1,0,0,20,12,11,"Higher Infection Resistance","1","1","no"
"ind541",30,180,30,18,15,0,0,0,0,0,20,15,15,"Higher Infection Resistance","1","1","no"
"ind551",30,180,30,14,9,0,0,0,0,0,20,9,7,"Higher Infection Resistance","1","1","no"
"ind561",30,180,30,13,11,0,0,0,0,0,20,11,10,"Higher Infection Resistance","1","1","no"
"ind571",30,180,29,12,0,0,0,0,11,12,20,12,11,"Higher Infection Resistance","1","1","no"
"ind581",30,180,30,12,10,0,0,0,0,0,20,10,8,"Higher Infection Resistance","1","1","no"
"ind591",30,180,30,13,9,0,0,0,0,0,20,9,9,"Higher Infection Resistance","1","1","no"
"ind601",30,180,29,17,16,0,0,0,0,0,20,16,14,"Higher Infection Resistance","1","1","no"
"ind611",30,180,30,18,15,0,0,0,0,0,20,15,11,"Higher Infection Resistance","1","1","no"
"ind621",30,180,28,18,14,0,0,0,0,0,20,14,12,"Higher Infection Resistance","1","1","no"
"ind631",30,180,28,8,5,0,0,0,0,0,20,5,5,"Higher Infection Resistance","1","1","no"
"ind641",30,180,30,21,16,0,0,0,0,0,20,16,14,"Higher Infection Resistance","1","1","no"
"ind651",30,180,29,15,10,0,0,1,0,0,20,10,9,"Higher Infection Resistance","1","1","no"
"ind661",30,180,30,18,16,0,0,0,0,0,20,16,14,"Higher Infection Resistance","1","1","no"
"ind671",30,180,30,18,16,0,0,0,0,0,20,16,15,"Higher Infection Resistance","1","1","no"
"ind681",30,180,30,20,15,0,0,0,0,0,20,15,13,"Higher Infection Resistance","1","1","no"
"ind691",30,180,30,12,10,0,0,0,0,0,20,10,7,"Higher Infection Resistance","1","1","no"
"ind701",30,180,30,12,10,0,0,0,0,0,20,10,7,"Higher Infection Resistance","1","1","no"
"ind711",30,180,30,9,7,0,0,0,0,0,20,7,6,"Higher Infection Resistance","1","1","no"
"ind721",30,180,30,9,8,0,0,0,0,0,20,8,5,"Higher Infection Resistance","1","1","no"
"ind731",30,180,30,14,11,0,0,0,0,0,20,11,10,"Higher Infection Resistance","1","1","no"
"ind741",30,180,29,13,13,0,0,0,0,0,20,13,13,"Higher Infection Resistance","1","1","no"
"ind751",30,180,30,12,8,0,0,0,0,0,20,8,7,"Higher Infection Resistance","1","1","no"
"ind761",30,180,30,17,17,0,0,0,0,0,20,17,16,"Higher Infection Resistance","1","1","no"
"ind771",30,180,30,19,15,0,0,0,0,0,20,15,14,"Higher Infection Resistance","1","1","no"
"ind781",30,180,29,12,10,0,0,1,0,0,20,10,9,"Higher Infection Resistance","1","1","no"
"ind791",30,180,30,22,0,0,0,0,8,19,20,19,18,"Higher Infection Resistance","1","1","no"
"ind801",30,180,30,13,9,0,0,0,0,0,20,9,9,"Higher Infection Resistance","1","1","no"
"ind811",30,180,30,15,13,0,0,1,0,0,20,13,13,"Higher Infection Resistance","1","1","no"
"ind821",30,180,28,14,9,0,0,1,0,0,20,9,8,"Higher Infection Resistance","1","1","no"
"ind831",30,180,30,12,9,0,0,0,0,0,20,9,9,"Higher Infection Resistance","1","1","no"
"ind841",30,180,30,14,12,0,0,0,0,0,20,12,10,"Higher Infection Resistance","1","1","no"
"ind851",30,180,30,12,12,0,0,0,0,0,20,12,10,"Higher Infection Resistance","1","1","no"
"ind861",30,180,30,17,14,0,0,0,0,0,20,14,12,"Higher Infection Resistance","1","1","no"
"ind871",30,180,30,9,7,0,0,0,0,0,20,7,6,"Higher Infection Resistance","1","1","no"
"ind881",30,180,30,16,13,0,0,0,0,0,20,13,12,"Higher Infection Resistance","1","1","no"
"ind891",30,180,30,11,10,0,0,0,0,0,20,10,10,"Higher Infection Resistance","1","1","no"
"ind901",30,180,30,10,8,0,0,0,0,0,20,8,7,"Higher Infection Resistance","1","1","no"
"ind911",30,180,30,12,11,0,0,0,0,0,20,11,10,"Higher Infection Resistance","1","1","no"
"ind921",30,180,30,17,0,0,0,0,15,15,20,15,11,"Higher Infection Resistance","1","1","no"
"ind931",30,180,29,17,15,0,0,0,0,0,20,15,15,"Higher Infection Resistance","1","1","no"
"ind941",30,180,30,17,16,0,0,0,0,0,20,16,15,"Higher Infection Resistance","1","1","no"
"ind951",30,180,30,16,9,0,0,1,0,0,20,9,8,"Higher Infection Resistance","1","1","no"
"ind961",30,180,30,17,15,0,0,1,0,0,20,15,15,"Higher Infection Resistance","1","1","no"
"ind971",30,180,30,15,0,0,0,0,7,15,20,15,13,"Higher Infection Resistance","1","1","no"
"ind981",30,180,30,21,17,0,0,1,0,0,20,17,15,"Higher Infection Resistance","1","1","no"
"ind991",30,180,30,17,14,0,0,0,0,0,20,14,12,"Higher Infection Resistance","1","1","no"
"ind1001",30,180,30,12,9,0,0,0,0,0,20,9,7,"Higher Infection Resistance","1","1","no"
"ind112",30,180,30,13,0,0,0,0,0,0,20,0,0,"Higher Clearance","2","2","no"
"ind212",30,180,30,19,4,0,0,2,0,0,20,4,4,"Higher Clearance","2","2","no"
"ind312",30,180,30,14,3,0,0,0,0,0,20,3,2,"Higher Clearance","2","2","no"
"ind412",30,180,29,13,3,0,0,0,0,0,20,3,3,"Higher Clearance","2","2","no"
"ind512",30,180,29,12,5,0,0,0,0,0,20,5,4,"Higher Clearance","2","2","no"
"ind612",30,180,28,14,3,0,0,0,0,0,20,3,2,"Higher Clearance","2","2","no"
"ind712",30,180,30,17,1,0,0,0,0,0,20,1,1,"Higher Clearance","2","2","no"
"ind812",30,180,30,13,0,0,0,0,0,0,20,0,0,"Higher Clearance","2","2","no"
"ind912",30,180,30,12,0,0,0,0,0,0,20,0,0,"Higher Clearance","2","2","no"
"ind102",30,180,30,13,0,0,0,1,0,0,20,0,0,"Higher Clearance","2","2","no"
"ind113",30,180,30,14,1,0,0,0,0,0,20,1,0,"Higher Clearance","2","2","no"
"ind122",30,180,30,13,3,0,0,0,0,0,20,3,2,"Higher Clearance","2","2","no"
"ind132",30,180,30,14,2,0,0,0,0,0,20,2,2,"Higher Clearance","2","2","no"
"ind142",30,180,28,11,0,0,0,0,0,0,20,0,0,"Higher Clearance","2","2","no"
"ind152",30,180,30,15,2,0,0,0,0,0,20,2,1,"Higher Clearance","2","2","no"
"ind162",30,180,30,17,1,0,0,2,0,0,20,1,1,"Higher Clearance","2","2","no"
"ind172",30,180,30,14,2,0,0,0,0,0,20,2,2,"Higher Clearance","2","2","no"
"ind182",30,180,30,11,0,0,0,0,4,10,20,10,9,"Higher Clearance","2","2","no"
"ind192",30,180,30,12,1,0,0,0,0,0,20,1,1,"Higher Clearance","2","2","no"
"ind202",30,180,30,12,3,0,0,0,0,0,20,3,3,"Higher Clearance","2","2","no"
"ind213",30,180,30,12,0,0,0,0,0,0,20,0,0,"Higher Clearance","2","2","no"
"ind222",30,180,29,18,1,0,0,0,0,0,20,1,1,"Higher Clearance","2","2","no"
"ind232",30,180,30,17,2,0,0,0,0,0,20,2,2,"Higher Clearance","2","2","no"
"ind242",30,180,29,7,1,0,0,0,0,0,20,1,1,"Higher Clearance","2","2","no"
"ind252",30,180,30,14,2,0,0,0,0,0,20,2,1,"Higher Clearance","2","2","no"
"ind262",30,180,30,16,2,0,0,0,0,0,20,2,1,"Higher Clearance","2","2","no"
"ind272",30,180,28,12,1,0,0,0,0,0,20,1,1,"Higher Clearance","2","2","no"
"ind282",30,180,30,16,5,0,0,0,0,0,20,5,3,"Higher Clearance","2","2","no"
"ind292",30,180,30,14,3,0,0,0,0,0,20,3,3,"Higher Clearance","2","2","no"
"ind302",30,180,30,16,4,0,0,0,0,0,20,4,4,"Higher Clearance","2","2","no"
"ind313",30,180,30,17,3,0,0,0,0,0,20,3,3,"Higher Clearance","2","2","no"
"ind322",30,180,30,13,0,0,0,0,0,0,20,0,0,"Higher Clearance","2","2","no"
"ind332",30,180,30,17,2,0,0,0,0,0,20,2,2,"Higher Clearance","2","2","no"
"ind342",30,180,30,15,3,0,0,0,0,0,20,3,2,"Higher Clearance","2","2","no"
"ind352",30,180,30,15,5,0,0,1,0,0,20,5,5,"Higher Clearance","2","2","no"
"ind362",30,180,30,19,3,0,0,0,0,0,20,3,3,"Higher Clearance","2","2","no"
"ind372",30,180,30,17,4,0,0,0,0,0,20,4,3,"Higher Clearance","2","2","no"
"ind382",30,180,29,20,6,0,0,0,0,0,20,6,5,"Higher Clearance","2","2","no"
"ind392",30,180,29,13,2,0,0,1,0,0,20,2,1,"Higher Clearance","2","2","no"
"ind402",30,180,29,16,0,0,0,0,0,0,20,0,0,"Higher Clearance","2","2","no"
"ind413",30,180,30,13,2,0,0,0,0,0,20,2,2,"Higher Clearance","2","2","no"
"ind422",30,180,30,16,3,0,0,0,0,0,20,3,2,"Higher Clearance","2","2","no"
"ind432",30,180,30,14,1,0,0,0,0,0,20,1,1,"Higher Clearance","2","2","no"
"ind442",30,180,30,15,3,0,0,0,0,0,20,3,3,"Higher Clearance","2","2","no"
"ind452",30,180,30,13,1,0,0,0,0,0,20,1,1,"Higher Clearance","2","2","no"
"ind462",30,180,30,17,2,0,0,0,0,0,20,2,2,"Higher Clearance","2","2","no"
"ind472",30,180,30,11,2,0,0,0,0,0,20,2,1,"Higher Clearance","2","2","no"
"ind482",30,180,30,14,2,0,0,0,0,0,20,2,2,"Higher Clearance","2","2","no"
"ind492",30,180,30,13,1,0,0,0,0,0,20,1,1,"Higher Clearance","2","2","no"
"ind502",30,180,30,16,1,0,0,0,0,0,20,1,1,"Higher Clearance","2","2","no"
"ind513",30,180,30,17,3,0,0,1,0,0,20,3,3,"Higher Clearance","2","2","no"
"ind522",30,180,30,14,1,0,0,0,0,0,20,1,1,"Higher Clearance","2","2","no"
"ind532",30,180,30,14,1,0,0,0,0,0,20,1,1,"Higher Clearance","2","2","no"
"ind542",30,180,30,17,1,0,0,0,0,0,20,1,1,"Higher Clearance","2","2","no"
"ind552",30,180,29,17,4,0,0,0,0,0,20,4,4,"Higher Clearance","2","2","no"
"ind562",30,180,29,15,3,0,0,1,0,0,20,3,3,"Higher Clearance","2","2","no"
"ind572",30,180,30,16,0,0,0,0,0,0,20,0,0,"Higher Clearance","2","2","no"
"ind582",30,180,30,20,5,0,0,1,0,0,20,5,5,"Higher Clearance","2","2","no"
"ind592",30,180,29,16,1,0,0,0,0,0,20,1,1,"Higher Clearance","2","2","no"
"ind602",30,180,28,14,0,0,0,1,0,0,20,0,0,"Higher Clearance","2","2","no"
"ind613",30,180,30,11,2,0,0,0,0,0,20,2,2,"Higher Clearance","2","2","no"
"ind622",30,180,30,16,2,0,0,0,0,0,20,2,2,"Higher Clearance","2","2","no"
"ind632",30,180,30,18,0,0,0,0,0,0,20,0,0,"Higher Clearance","2","2","no"
"ind642",30,180,30,13,4,0,0,0,0,0,20,4,4,"Higher Clearance","2","2","no"
"ind652",30,180,30,15,2,0,0,0,0,0,20,2,1,"Higher Clearance","2","2","no"
"ind662",30,180,30,15,4,0,0,0,0,0,20,4,4,"Higher Clearance","2","2","no"
"ind672",30,180,30,17,3,0,0,1,0,0,20,3,3,"Higher Clearance","2","2","no"
"ind682",30,180,30,12,2,0,0,0,0,0,20,2,2,"Higher Clearance","2","2","no"
"ind692",30,180,29,16,0,0,0,0,17,3,20,3,3,"Higher Clearance","2","2","no"
"ind702",30,180,30,13,0,0,0,1,0,0,20,0,0,"Higher Clearance","2","2","no"
"ind713",30,180,30,15,2,0,0,0,0,0,20,2,2,"Higher Clearance","2","2","no"
"ind722",30,180,30,16,1,0,0,0,0,0,20,1,0,"Higher Clearance","2","2","no"
"ind732",30,180,30,12,0,0,0,0,2,12,20,12,11,"Higher Clearance","2","2","no"
"ind742",30,180,29,16,0,0,0,0,0,0,20,0,0,"Higher Clearance","2","2","no"
"ind752",30,180,30,13,2,0,0,1,0,0,20,2,2,"Higher Clearance","2","2","no"
"ind762",30,180,30,12,3,0,0,0,0,0,20,3,3,"Higher Clearance","2","2","no"
"ind772",30,180,30,13,4,0,0,0,0,0,20,4,4,"Higher Clearance","2","2","no"
"ind782",30,180,30,18,0,0,0,2,0,0,20,0,0,"Higher Clearance","2","2","no"
"ind792",30,180,30,21,1,0,0,0,0,0,20,1,1,"Higher Clearance","2","2","no"
"ind802",30,180,29,16,2,0,0,1,0,0,20,2,1,"Higher Clearance","2","2","no"
"ind813",30,180,30,17,3,0,0,0,0,0,20,3,3,"Higher Clearance","2","2","no"
"ind822",30,180,30,18,0,0,0,0,0,0,20,0,0,"Higher Clearance","2","2","no"
"ind832",30,180,30,12,1,0,0,0,0,0,20,1,1,"Higher Clearance","2","2","no"
"ind842",30,180,30,15,3,0,0,0,0,0,20,3,3,"Higher Clearance","2","2","no"
"ind852",30,180,29,14,3,0,0,0,0,0,20,3,3,"Higher Clearance","2","2","no"
"ind862",30,180,30,14,1,0,0,0,0,0,20,1,0,"Higher Clearance","2","2","no"
