"","initial.parasites","infection.length","penetrated.parasites","established.parasites","No.parasites","host.mort","host.pent.mort","parasite.mort","time.died","parasites.dead","t","total.parasites","total.parasites.detected","var.level","sim.num","unique.id","samplingday"
"ind51",30,180,30,18,18,0,0,0,0,0,1,18,16,"Higher Infection Resistance","1","1","Day1"
"ind61",30,180,29,20,20,0,0,0,0,0,1,20,18,"Higher Infection Resistance","1","1","Day1"
"ind71",30,180,30,14,14,0,0,0,0,0,1,14,12,"Higher Infection Resistance","1","1","Day1"
"ind81",30,180,30,17,17,0,0,0,0,0,1,17,16,"Higher Infection Resistance","1","1","Day1"
"ind91",30,180,30,19,19,0,0,0,0,0,1,19,16,"Higher Infection Resistance","1","1","Day1"
"ind101",30,180,30,13,13,0,0,0,0,0,1,13,11,"Higher Infection Resistance","1","1","Day1"
"ind111",30,180,30,14,14,0,0,0,0,0,1,14,13,"Higher Infection Resistance","1","1","Day1"
"ind121",30,180,30,12,12,0,0,0,0,0,1,12,12,"Higher Infection Resistance","1","1","Day1"
"ind131",30,180,30,18,18,0,0,0,0,0,1,18,14,"Higher Infection Resistance","1","1","Day1"
"ind141",30,180,30,20,20,0,0,0,0,0,1,20,17,"Higher Infection Resistance","1","1","Day1"
"ind151",30,180,30,11,11,0,0,0,0,0,1,11,9,"Higher Infection Resistance","1","1","Day1"
"ind161",30,180,28,19,19,0,0,0,0,0,1,19,17,"Higher Infection Resistance","1","1","Day1"
"ind171",30,180,29,16,16,0,0,0,0,0,1,16,13,"Higher Infection Resistance","1","1","Day1"
"ind181",30,180,30,15,15,0,0,0,0,0,1,15,13,"Higher Infection Resistance","1","1","Day1"
"ind191",30,180,30,15,15,0,0,0,0,0,1,15,14,"Higher Infection Resistance","1","1","Day1"
"ind201",30,180,29,12,12,0,0,0,0,0,1,12,12,"Higher Infection Resistance","1","1","Day1"
"ind112",30,180,30,22,22,0,0,0,0,0,1,22,22,"Higher Clearance","2","2","Day1"
"ind22",30,180,30,17,17,0,0,0,0,0,1,17,16,"Higher Clearance","2","2","Day1"
"ind32",30,180,30,15,15,0,0,0,0,0,1,15,11,"Higher Clearance","2","2","Day1"
"ind42",30,180,30,21,21,0,0,0,0,0,1,21,17,"Higher Clearance","2","2","Day1"
"ind52",30,180,30,18,18,0,0,0,0,0,1,18,13,"Higher Clearance","2","2","Day1"
"ind62",30,180,30,17,17,0,0,0,0,0,1,17,14,"Higher Clearance","2","2","Day1"
"ind72",30,180,29,24,24,0,0,0,0,0,1,24,23,"Higher Clearance","2","2","Day1"
"ind82",30,180,30,20,20,0,0,0,0,0,1,20,18,"Higher Clearance","2","2","Day1"
"ind92",30,180,30,23,23,0,0,0,0,0,1,23,22,"Higher Clearance","2","2","Day1"
"ind102",30,180,30,21,21,0,0,0,0,0,1,21,20,"Higher Clearance","2","2","Day1"
"ind113",30,180,30,14,14,0,0,0,0,0,1,14,14,"Higher Clearance","2","2","Day1"
"ind122",30,180,29,19,19,0,0,0,0,0,1,19,18,"Higher Clearance","2","2","Day1"
"ind132",30,180,29,22,22,0,0,0,0,0,1,22,17,"Higher Clearance","2","2","Day1"
"ind142",30,180,30,15,15,0,0,0,0,0,1,15,13,"Higher Clearance","2","2","Day1"
"ind152",30,180,30,16,16,0,0,0,0,0,1,16,12,"Higher Clearance","2","2","Day1"
"ind162",30,180,30,16,16,0,0,0,0,0,1,16,13,"Higher Clearance","2","2","Day1"
"ind172",30,180,30,18,18,0,0,0,0,0,1,18,15,"Higher Clearance","2","2","Day1"
"ind182",30,180,30,16,16,0,0,0,0,0,1,16,16,"Higher Clearance","2","2","Day1"
"ind192",30,180,29,20,20,0,0,0,0,0,1,20,19,"Higher Clearance","2","2","Day1"
"ind202",30,180,30,15,15,0,0,0,0,0,1,15,14,"Higher Clearance","2","2","Day1"
"ind1101",30,180,30,18,18,0,0,0,0,0,1,18,14,"Higher Infection Resistance","2","2","Day1"
"ind211",30,180,30,16,16,0,0,0,0,0,1,16,14,"Higher Infection Resistance","2","2","Day1"
"ind311",30,180,30,14,14,0,0,0,0,0,1,14,11,"Higher Infection Resistance","2","2","Day1"
"ind411",30,180,30,11,11,0,0,0,0,0,1,11,11,"Higher Infection Resistance","2","2","Day1"
"ind511",30,180,30,19,19,0,0,0,0,0,1,19,16,"Higher Infection Resistance","2","2","Day1"
"ind611",30,180,30,16,16,0,0,0,0,0,1,16,15,"Higher Infection Resistance","2","2","Day1"
"ind711",30,180,30,19,19,0,0,0,0,0,1,19,16,"Higher Infection Resistance","2","2","Day1"
"ind811",30,180,30,12,12,0,0,0,0,0,1,12,11,"Higher Infection Resistance","2","2","Day1"
"ind911",30,180,30,15,15,0,0,0,0,0,1,15,12,"Higher Infection Resistance","2","2","Day1"
"ind1011",30,180,30,14,14,0,0,0,0,0,1,14,12,"Higher Infection Resistance","2","2","Day1"
"ind1111",30,180,30,20,20,0,0,0,0,0,1,20,20,"Higher Infection Resistance","2","2","Day1"
"ind1211",30,180,30,17,17,0,0,0,0,0,1,17,11,"Higher Infection Resistance","2","2","Day1"
"ind1311",30,180,30,9,9,0,0,0,0,0,1,9,9,"Higher Infection Resistance","2","2","Day1"
"ind1411",30,180,30,12,12,0,0,0,0,0,1,12,12,"Higher Infection Resistance","2","2","Day1"
"ind1511",30,180,30,14,14,0,0,0,0,0,1,14,14,"Higher Infection Resistance","2","2","Day1"
"ind1611",30,180,30,14,14,0,0,0,0,0,1,14,14,"Higher Infection Resistance","2","2","Day1"
"ind1711",30,180,29,15,15,0,0,0,0,0,1,15,15,"Higher Infection Resistance","2","2","Day1"
"ind1811",30,180,29,12,12,0,0,0,0,0,1,12,12,"Higher Infection Resistance","2","2","Day1"
"ind1911",30,180,30,16,16,0,0,0,0,0,1,16,16,"Higher Infection Resistance","2","2","Day1"
"ind2011",30,180,30,15,15,0,0,0,0,0,1,15,13,"Higher Infection Resistance","2","2","Day1"
"ind114",30,180,29,20,20,0,0,0,0,0,1,20,16,"Higher Clearance","3","3","Day1"
"ind23",30,180,30,19,19,0,0,0,0,0,1,19,12,"Higher Clearance","3","3","Day1"
"ind33",30,180,29,17,17,0,0,0,0,0,1,17,14,"Higher Clearance","3","3","Day1"
"ind43",30,180,30,15,15,0,0,0,0,0,1,15,15,"Higher Clearance","3","3","Day1"
"ind53",30,180,29,17,17,0,0,0,0,0,1,17,16,"Higher Clearance","3","3","Day1"
"ind63",30,180,30,16,16,0,0,0,0,0,1,16,15,"Higher Clearance","3","3","Day1"
"ind73",30,180,30,21,21,0,0,0,0,0,1,21,20,"Higher Clearance","3","3","Day1"
"ind83",30,180,30,19,19,0,0,0,0,0,1,19,19,"Higher Clearance","3","3","Day1"
"ind93",30,180,30,17,17,0,0,0,0,0,1,17,15,"Higher Clearance","3","3","Day1"
"ind103",30,180,30,17,17,0,0,0,0,0,1,17,16,"Higher Clearance","3","3","Day1"
"ind115",30,180,30,19,19,0,0,0,0,0,1,19,17,"Higher Clearance","3","3","Day1"
"ind123",30,180,30,14,14,0,0,0,0,0,1,14,11,"Higher Clearance","3","3","Day1"
"ind133",30,180,30,19,19,0,0,0,0,0,1,19,16,"Higher Clearance","3","3","Day1"
"ind143",30,180,30,21,21,0,0,0,0,0,1,21,20,"Higher Clearance","3","3","Day1"
"ind153",30,180,29,19,19,0,0,0,0,0,1,19,17,"Higher Clearance","3","3","Day1"
"ind163",30,180,29,18,18,0,0,0,0,0,1,18,18,"Higher Clearance","3","3","Day1"
"ind173",30,180,30,16,16,0,0,0,0,0,1,16,16,"Higher Clearance","3","3","Day1"
"ind183",30,180,30,26,26,0,0,0,0,0,1,26,23,"Higher Clearance","3","3","Day1"
"ind193",30,180,29,21,21,0,0,0,0,0,1,21,21,"Higher Clearance","3","3","Day1"
"ind203",30,180,30,19,19,0,0,0,0,0,1,19,16,"Higher Clearance","3","3","Day1"
"ind1102",30,180,30,11,11,0,0,0,0,0,1,11,11,"Higher Infection Resistance","3","3","Day1"
"ind212",30,180,30,17,17,0,0,0,0,0,1,17,15,"Higher Infection Resistance","3","3","Day1"
"ind312",30,180,30,11,11,0,0,0,0,0,1,11,10,"Higher Infection Resistance","3","3","Day1"
"ind412",30,180,30,16,16,0,0,0,0,0,1,16,10,"Higher Infection Resistance","3","3","Day1"
"ind512",30,180,30,16,16,0,0,0,0,0,1,16,15,"Higher Infection Resistance","3","3","Day1"
"ind612",30,180,30,17,17,0,0,0,0,0,1,17,16,"Higher Infection Resistance","3","3","Day1"
"ind712",30,180,30,13,13,0,0,0,0,0,1,13,12,"Higher Infection Resistance","3","3","Day1"
"ind812",30,180,29,15,15,0,0,0,0,0,1,15,15,"Higher Infection Resistance","3","3","Day1"
"ind912",30,180,30,10,10,0,0,0,0,0,1,10,9,"Higher Infection Resistance","3","3","Day1"
"ind1012",30,180,30,14,14,0,0,0,0,0,1,14,12,"Higher Infection Resistance","3","3","Day1"
"ind1112",30,180,30,11,11,0,0,0,0,0,1,11,10,"Higher Infection Resistance","3","3","Day1"
"ind1212",30,180,29,14,14,0,0,0,0,0,1,14,14,"Higher Infection Resistance","3","3","Day1"
"ind1312",30,180,30,17,17,0,0,0,0,0,1,17,15,"Higher Infection Resistance","3","3","Day1"
"ind1412",30,180,30,14,14,0,0,0,0,0,1,14,12,"Higher Infection Resistance","3","3","Day1"
"ind1512",30,180,30,23,23,0,0,0,0,0,1,23,20,"Higher Infection Resistance","3","3","Day1"
"ind1612",30,180,30,14,14,0,0,0,0,0,1,14,11,"Higher Infection Resistance","3","3","Day1"
"ind1712",30,180,30,18,18,0,0,0,0,0,1,18,17,"Higher Infection Resistance","3","3","Day1"
"ind1812",30,180,30,13,13,0,0,0,0,0,1,13,10,"Higher Infection Resistance","3","3","Day1"
"ind1912",30,180,30,20,20,0,0,0,0,0,1,20,20,"Higher Infection Resistance","3","3","Day1"
"ind2012",30,180,30,13,13,0,0,0,0,0,1,13,12,"Higher Infection Resistance","3","3","Day1"
"ind116",30,180,30,16,16,0,0,0,0,0,1,16,14,"Higher Clearance","4","4","Day1"
"ind24",30,180,28,21,21,0,0,0,0,0,1,21,18,"Higher Clearance","4","4","Day1"
"ind34",30,180,30,18,18,0,0,0,0,0,1,18,14,"Higher Clearance","4","4","Day1"
"ind44",30,180,30,19,19,0,0,0,0,0,1,19,16,"Higher Clearance","4","4","Day1"
"ind54",30,180,29,16,16,0,0,0,0,0,1,16,14,"Higher Clearance","4","4","Day1"
"ind64",30,180,30,23,23,0,0,0,0,0,1,23,21,"Higher Clearance","4","4","Day1"
"ind74",30,180,30,19,19,0,0,0,0,0,1,19,16,"Higher Clearance","4","4","Day1"
"ind84",30,180,30,22,22,0,0,0,0,0,1,22,19,"Higher Clearance","4","4","Day1"
"ind94",30,180,30,20,20,0,0,0,0,0,1,20,15,"Higher Clearance","4","4","Day1"
"ind104",30,180,29,18,18,0,0,0,0,0,1,18,18,"Higher Clearance","4","4","Day1"
"ind117",30,180,30,18,18,0,0,0,0,0,1,18,17,"Higher Clearance","4","4","Day1"
"ind124",30,180,30,19,19,0,0,0,0,0,1,19,18,"Higher Clearance","4","4","Day1"
"ind134",30,180,28,19,19,0,0,0,0,0,1,19,18,"Higher Clearance","4","4","Day1"
"ind144",30,180,30,16,16,0,0,0,0,0,1,16,15,"Higher Clearance","4","4","Day1"
"ind154",30,180,30,18,18,0,0,0,0,0,1,18,16,"Higher Clearance","4","4","Day1"
"ind164",30,180,29,19,19,0,0,0,0,0,1,19,16,"Higher Clearance","4","4","Day1"
"ind174",30,180,29,16,16,0,0,0,0,0,1,16,14,"Higher Clearance","4","4","Day1"
"ind184",30,180,30,19,19,0,0,0,0,0,1,19,14,"Higher Clearance","4","4","Day1"
"ind194",30,180,30,22,22,0,0,0,0,0,1,22,21,"Higher Clearance","4","4","Day1"
"ind204",30,180,30,14,14,0,0,0,0,0,1,14,14,"Higher Clearance","4","4","Day1"
"ind1103",30,180,29,16,16,0,0,0,0,0,1,16,16,"Higher Infection Resistance","4","4","Day1"
"ind213",30,180,30,17,17,0,0,0,0,0,1,17,16,"Higher Infection Resistance","4","4","Day1"
"ind313",30,180,30,17,17,0,0,0,0,0,1,17,14,"Higher Infection Resistance","4","4","Day1"
"ind413",30,180,30,18,18,0,0,0,0,0,1,18,18,"Higher Infection Resistance","4","4","Day1"
"ind513",30,180,30,14,14,0,0,0,0,0,1,14,13,"Higher Infection Resistance","4","4","Day1"
"ind613",30,180,30,14,14,0,0,0,0,0,1,14,13,"Higher Infection Resistance","4","4","Day1"
"ind713",30,180,30,7,7,0,0,0,0,0,1,7,7,"Higher Infection Resistance","4","4","Day1"
"ind813",30,180,30,16,16,0,0,0,0,0,1,16,13,"Higher Infection Resistance","4","4","Day1"
"ind913",30,180,30,15,15,0,0,0,0,0,1,15,12,"Higher Infection Resistance","4","4","Day1"
"ind1013",30,180,30,13,13,0,0,0,0,0,1,13,13,"Higher Infection Resistance","4","4","Day1"
"ind1113",30,180,29,16,16,0,0,0,0,0,1,16,16,"Higher Infection Resistance","4","4","Day1"
"ind1213",30,180,30,12,12,0,0,0,0,0,1,12,9,"Higher Infection Resistance","4","4","Day1"
"ind1313",30,180,30,11,11,0,0,0,0,0,1,11,11,"Higher Infection Resistance","4","4","Day1"
"ind1413",30,180,29,16,16,0,0,0,0,0,1,16,12,"Higher Infection Resistance","4","4","Day1"
"ind1513",30,180,30,16,16,0,0,0,0,0,1,16,11,"Higher Infection Resistance","4","4","Day1"
"ind1613",30,180,29,11,11,0,0,0,0,0,1,11,11,"Higher Infection Resistance","4","4","Day1"
"ind1713",30,180,30,16,16,0,0,0,0,0,1,16,15,"Higher Infection Resistance","4","4","Day1"
"ind1813",30,180,29,14,14,0,0,0,0,0,1,14,14,"Higher Infection Resistance","4","4","Day1"
"ind1913",30,180,30,12,12,0,0,0,0,0,1,12,12,"Higher Infection Resistance","4","4","Day1"
"ind2013",30,180,29,13,13,0,0,0,0,0,1,13,13,"Higher Infection Resistance","4","4","Day1"
"ind118",30,180,30,14,14,0,0,0,0,0,1,14,14,"Higher Clearance","5","5","Day1"
"ind25",30,180,29,17,17,0,0,0,0,0,1,17,16,"Higher Clearance","5","5","Day1"
"ind35",30,180,30,15,15,0,0,0,0,0,1,15,15,"Higher Clearance","5","5","Day1"
"ind45",30,180,30,13,13,0,0,0,0,0,1,13,12,"Higher Clearance","5","5","Day1"
"ind55",30,180,30,21,21,0,0,0,0,0,1,21,17,"Higher Clearance","5","5","Day1"
"ind65",30,180,29,16,16,0,0,0,0,0,1,16,15,"Higher Clearance","5","5","Day1"
"ind75",30,180,30,18,18,0,0,0,0,0,1,18,17,"Higher Clearance","5","5","Day1"
"ind85",30,180,29,19,19,0,0,0,0,0,1,19,17,"Higher Clearance","5","5","Day1"
"ind95",30,180,30,20,20,0,0,0,0,0,1,20,18,"Higher Clearance","5","5","Day1"
"ind105",30,180,29,20,20,0,0,0,0,0,1,20,19,"Higher Clearance","5","5","Day1"
"ind119",30,180,30,18,18,0,0,0,0,0,1,18,17,"Higher Clearance","5","5","Day1"
"ind125",30,180,30,15,15,0,0,0,0,0,1,15,13,"Higher Clearance","5","5","Day1"
"ind135",30,180,30,23,23,0,0,0,0,0,1,23,22,"Higher Clearance","5","5","Day1"
"ind145",30,180,30,22,22,0,0,0,0,0,1,22,20,"Higher Clearance","5","5","Day1"
"ind155",30,180,30,18,18,0,0,0,0,0,1,18,16,"Higher Clearance","5","5","Day1"
"ind165",30,180,30,17,17,0,0,0,0,0,1,17,15,"Higher Clearance","5","5","Day1"
"ind175",30,180,29,19,19,0,0,0,0,0,1,19,17,"Higher Clearance","5","5","Day1"
"ind185",30,180,30,20,20,0,0,0,0,0,1,20,18,"Higher Clearance","5","5","Day1"
"ind195",30,180,29,18,18,0,0,0,0,0,1,18,15,"Higher Clearance","5","5","Day1"
"ind205",30,180,30,18,18,0,0,0,0,0,1,18,16,"Higher Clearance","5","5","Day1"
"ind1104",30,180,29,19,19,0,0,0,0,0,1,19,17,"Higher Infection Resistance","5","5","Day1"
"ind214",30,180,30,13,13,0,0,0,0,0,1,13,13,"Higher Infection Resistance","5","5","Day1"
"ind314",30,180,29,11,11,0,0,0,0,0,1,11,11,"Higher Infection Resistance","5","5","Day1"
"ind414",30,180,29,16,16,0,0,0,0,0,1,16,14,"Higher Infection Resistance","5","5","Day1"
"ind514",30,180,30,19,19,0,0,0,0,0,1,19,19,"Higher Infection Resistance","5","5","Day1"
"ind614",30,180,29,15,15,0,0,0,0,0,1,15,14,"Higher Infection Resistance","5","5","Day1"
"ind714",30,180,29,12,12,0,0,0,0,0,1,12,12,"Higher Infection Resistance","5","5","Day1"
"ind814",30,180,30,16,16,0,0,0,0,0,1,16,11,"Higher Infection Resistance","5","5","Day1"
"ind914",30,180,30,14,14,0,0,0,0,0,1,14,14,"Higher Infection Resistance","5","5","Day1"
"ind1014",30,180,30,12,12,0,0,0,0,0,1,12,11,"Higher Infection Resistance","5","5","Day1"
"ind1114",30,180,30,13,13,0,0,0,0,0,1,13,12,"Higher Infection Resistance","5","5","Day1"
"ind1214",30,180,30,11,11,0,0,0,0,0,1,11,11,"Higher Infection Resistance","5","5","Day1"
"ind1314",30,180,30,20,20,0,0,0,0,0,1,20,20,"Higher Infection Resistance","5","5","Day1"
"ind1414",30,180,30,15,15,0,0,0,0,0,1,15,14,"Higher Infection Resistance","5","5","Day1"
"ind1514",30,180,30,17,17,0,0,0,0,0,1,17,13,"Higher Infection Resistance","5","5","Day1"
"ind1614",30,180,29,10,10,0,0,0,0,0,1,10,10,"Higher Infection Resistance","5","5","Day1"
"ind1714",30,180,30,11,11,0,0,0,0,0,1,11,10,"Higher Infection Resistance","5","5","Day1"
"ind1814",30,180,30,14,14,0,0,0,0,0,1,14,12,"Higher Infection Resistance","5","5","Day1"
"ind1914",30,180,30,11,11,0,0,0,0,0,1,11,9,"Higher Infection Resistance","5","5","Day1"
"ind2014",30,180,30,12,12,0,0,0,0,0,1,12,9,"Higher Infection Resistance","5","5","Day1"
"ind120",30,180,29,15,15,0,0,0,0,0,1,15,13,"Higher Clearance","6","6","Day1"
"ind26",30,180,30,19,19,0,0,0,0,0,1,19,19,"Higher Clearance","6","6","Day1"
"ind36",30,180,30,16,16,0,0,0,0,0,1,16,14,"Higher Clearance","6","6","Day1"
"ind46",30,180,30,16,16,0,0,0,0,0,1,16,15,"Higher Clearance","6","6","Day1"
"ind56",30,180,30,21,21,0,0,0,0,0,1,21,19,"Higher Clearance","6","6","Day1"
"ind66",30,180,30,18,18,0,0,0,0,0,1,18,18,"Higher Clearance","6","6","Day1"
"ind76",30,180,29,14,14,0,0,0,0,0,1,14,11,"Higher Clearance","6","6","Day1"
"ind86",30,180,30,17,17,0,0,0,0,0,1,17,17,"Higher Clearance","6","6","Day1"
"ind96",30,180,30,20,20,0,0,0,0,0,1,20,20,"Higher Clearance","6","6","Day1"
"ind106",30,180,30,18,18,0,0,0,0,0,1,18,15,"Higher Clearance","6","6","Day1"
"ind1110",30,180,30,16,16,0,0,0,0,0,1,16,13,"Higher Clearance","6","6","Day1"
"ind126",30,180,30,16,16,0,0,0,0,0,1,16,16,"Higher Clearance","6","6","Day1"
"ind136",30,180,29,20,20,0,0,0,0,0,1,20,19,"Higher Clearance","6","6","Day1"
"ind146",30,180,29,15,15,0,0,0,0,0,1,15,14,"Higher Clearance","6","6","Day1"
"ind156",30,180,30,22,22,0,0,0,0,0,1,22,18,"Higher Clearance","6","6","Day1"
"ind166",30,180,30,20,20,0,0,0,0,0,1,20,18,"Higher Clearance","6","6","Day1"
"ind176",30,180,29,17,17,0,0,0,0,0,1,17,13,"Higher Clearance","6","6","Day1"
"ind186",30,180,30,15,15,0,0,0,0,0,1,15,14,"Higher Clearance","6","6","Day1"
"ind196",30,180,29,16,16,0,0,0,0,0,1,16,15,"Higher Clearance","6","6","Day1"
"ind206",30,180,29,14,14,0,0,0,0,0,1,14,11,"Higher Clearance","6","6","Day1"
"ind1105",30,180,29,14,14,0,0,0,0,0,1,14,12,"Higher Infection Resistance","6","6","Day1"
"ind215",30,180,30,16,16,0,0,0,0,0,1,16,13,"Higher Infection Resistance","6","6","Day1"
"ind315",30,180,30,9,9,0,0,0,0,0,1,9,8,"Higher Infection Resistance","6","6","Day1"
"ind415",30,180,29,16,16,0,0,0,0,0,1,16,13,"Higher Infection Resistance","6","6","Day1"
"ind515",30,180,30,11,11,0,0,0,0,0,1,11,10,"Higher Infection Resistance","6","6","Day1"
"ind615",30,180,30,19,19,0,0,0,0,0,1,19,17,"Higher Infection Resistance","6","6","Day1"
"ind715",30,180,30,13,13,0,0,0,0,0,1,13,11,"Higher Infection Resistance","6","6","Day1"
"ind815",30,180,30,16,16,0,0,0,0,0,1,16,11,"Higher Infection Resistance","6","6","Day1"
"ind915",30,180,30,15,15,0,0,0,0,0,1,15,15,"Higher Infection Resistance","6","6","Day1"
"ind1015",30,180,30,12,12,0,0,0,0,0,1,12,9,"Higher Infection Resistance","6","6","Day1"
"ind1115",30,180,29,16,16,0,0,0,0,0,1,16,16,"Higher Infection Resistance","6","6","Day1"
"ind1215",30,180,30,15,15,0,0,0,0,0,1,15,15,"Higher Infection Resistance","6","6","Day1"
"ind1315",30,180,30,15,15,0,0,0,0,0,1,15,13,"Higher Infection Resistance","6","6","Day1"
"ind1415",30,180,30,14,14,0,0,0,0,0,1,14,11,"Higher Infection Resistance","6","6","Day1"
"ind1515",30,180,30,21,21,0,0,0,0,0,1,21,19,"Higher Infection Resistance","6","6","Day1"
"ind1615",30,180,30,12,12,0,0,0,0,0,1,12,11,"Higher Infection Resistance","6","6","Day1"
"ind1715",30,180,30,17,17,0,0,0,0,0,1,17,15,"Higher Infection Resistance","6","6","Day1"
"ind1815",30,180,30,16,16,0,0,0,0,0,1,16,13,"Higher Infection Resistance","6","6","Day1"
"ind1915",30,180,30,17,17,0,0,0,0,0,1,17,16,"Higher Infection Resistance","6","6","Day1"
"ind2015",30,180,30,18,18,0,0,0,0,0,1,18,15,"Higher Infection Resistance","6","6","Day1"
"ind127",30,180,30,16,16,0,0,0,0,0,1,16,13,"Higher Clearance","7","7","Day1"
"ind27",30,180,30,17,17,0,0,0,0,0,1,17,15,"Higher Clearance","7","7","Day1"
"ind37",30,180,30,16,16,0,0,0,0,0,1,16,14,"Higher Clearance","7","7","Day1"
"ind47",30,180,30,19,19,0,0,0,0,0,1,19,15,"Higher Clearance","7","7","Day1"
"ind57",30,180,29,21,21,0,0,0,0,0,1,21,17,"Higher Clearance","7","7","Day1"
"ind67",30,180,29,13,13,0,0,0,0,0,1,13,12,"Higher Clearance","7","7","Day1"
"ind77",30,180,29,16,16,0,0,0,0,0,1,16,14,"Higher Clearance","7","7","Day1"
"ind87",30,180,30,17,17,0,0,0,0,0,1,17,14,"Higher Clearance","7","7","Day1"
"ind97",30,180,30,20,20,0,0,0,0,0,1,20,17,"Higher Clearance","7","7","Day1"
"ind107",30,180,30,21,21,0,0,0,0,0,1,21,19,"Higher Clearance","7","7","Day1"
"ind1116",30,180,30,21,21,0,0,0,0,0,1,21,18,"Higher Clearance","7","7","Day1"
"ind128",30,180,30,16,16,0,0,0,0,0,1,16,13,"Higher Clearance","7","7","Day1"
"ind137",30,180,30,20,20,0,0,0,0,0,1,20,18,"Higher Clearance","7","7","Day1"
"ind147",30,180,30,20,20,0,0,0,0,0,1,20,19,"Higher Clearance","7","7","Day1"
"ind157",30,180,30,20,20,0,0,0,0,0,1,20,20,"Higher Clearance","7","7","Day1"
"ind167",30,180,30,20,20,0,0,0,0,0,1,20,20,"Higher Clearance","7","7","Day1"
"ind177",30,180,29,23,23,0,0,0,0,0,1,23,20,"Higher Clearance","7","7","Day1"
"ind187",30,180,30,23,23,0,0,0,0,0,1,23,20,"Higher Clearance","7","7","Day1"
"ind197",30,180,29,19,19,0,0,0,0,0,1,19,16,"Higher Clearance","7","7","Day1"
"ind207",30,180,30,22,22,0,0,0,0,0,1,22,21,"Higher Clearance","7","7","Day1"
"ind1106",30,180,30,18,18,0,0,0,0,0,1,18,15,"Higher Infection Resistance","7","7","Day1"
"ind216",30,180,30,19,19,0,0,0,0,0,1,19,18,"Higher Infection Resistance","7","7","Day1"
"ind316",30,180,29,16,16,0,0,0,0,0,1,16,16,"Higher Infection Resistance","7","7","Day1"
"ind416",30,180,30,15,15,0,0,0,0,0,1,15,14,"Higher Infection Resistance","7","7","Day1"
"ind516",30,180,30,11,11,0,0,0,0,0,1,11,9,"Higher Infection Resistance","7","7","Day1"
"ind616",30,180,30,11,11,0,0,0,0,0,1,11,9,"Higher Infection Resistance","7","7","Day1"
"ind716",30,180,30,16,16,0,0,0,0,0,1,16,16,"Higher Infection Resistance","7","7","Day1"
"ind816",30,180,30,16,16,0,0,0,0,0,1,16,16,"Higher Infection Resistance","7","7","Day1"
"ind916",30,180,29,11,11,0,0,0,0,0,1,11,10,"Higher Infection Resistance","7","7","Day1"
"ind1016",30,180,29,17,17,0,0,0,0,0,1,17,13,"Higher Infection Resistance","7","7","Day1"
"ind1117",30,180,30,17,17,0,0,0,0,0,1,17,17,"Higher Infection Resistance","7","7","Day1"
"ind1216",30,180,30,15,15,0,0,0,0,0,1,15,14,"Higher Infection Resistance","7","7","Day1"
